Tie-break 1;C,B,A;1,1,1;(C(AB));ABC;10110;010;CA
Generated case number 6;x,c,d,R,D,Z,L,Y,J,T,I,q,j,O,K,V,g;6,5,10,8,15,11,5,11,11,13,8,7,11,14,14,11,15;(((g(IR))(((Lc)d)(JV)))(((YZ)(jT))(((xq)K)(OD))));YTRJgI;10001011001101100000010;0011010011100110000100101011101;RcqYcdK
Generated case number 7;q,k,w,K,N,s,Y,U,O,V,C,S,n,P,d,R,A,Q,p,b,v,c,L,F,m,f,g,o,z,j,J,r,a,h,W,G,t,l,Z,H,I,B,E,i,e,u,D;14,13,11,8,2,5,6,4,11,10,15,7,1,14,5,13,2,13,6,1,14,10,12,13,3,13,6,2,4,1,1,10,11,9,10,4,8,2,10,2,9,7,12,11,13,14,13;(((((tI)(hV))((WZ)(c(d(om)))))(((rO)((sY)a))((iw)(EL))))(((((gp)D)(FQ))((Re)(fk)))((((BS)P)(qu))((vC)((((AH)G)(((Jb)N)U))(K(((jn)l)z)))))));Erq;011100100011010;000110011010110001110111001111010111111100011000;!
Generated case number 8;d,c,J,N,D,a,x,i,T,R,w,B,p;1,11,3,1,13,2,3,10,14,14,4,10,8;(((pB)(ic))((D((Jx)(((Nd)a)w)))(RT)));cJdwwB;0111010010110011011110111001;010101100010110001010010100;iNNJJ
Generated case number 9;T,A,I,o,S,u,w,d,U,c,i,G,W,r,V,z,Z,M,p,s,l,D,k,K,b,E,P,f,X,j,y,N,C,t;12,14,10,7,7,11,6,4,11,6,4,10,12,3,7,4,15,1,10,10,14,3,11,5,8,10,13,6,6,15,3,8,6,15;(((((wS)A)((Vo)l))((Zj)(t(((MD)d)N))))((((b(iz))(EG))((Ip)(s(KC))))(((Uk)(uT))((W(Xc))((f(ry))P)))));MjpzpAcj;01110000101101011000111010100011110110101;0111000111001111010111000011011101101110;MWrWldK
Generated case number 10;s,F,q,n,f,N,x,c,w,l,V,r,O,t,W,P,L,e,U,i,z,E,X,o,v,b,R,k,I,H,g,G,m,Y,u,y,S,A,p,M,B,j,J,K,D,Q,d,C,T,Z,a;15,13,2,12,5,4,4,9,13,11,11,1,8,10,6,9,3,4,11,1,3,7,3,3,10,14,3,14,11,11,8,6,7,1,3,7,1,5,10,11,7,7,12,7,13,1,12,10,2,10,12;(((((Pc)((A(qL))C))((Zp)(tv)))((((fG)H)(IM))((UV)(lJ))))(((((((r(QS))R)W)((Xo)(uz)))(ad))((nD)(Fw)))((((BE)(Kj))(bk))(((my)s)(((N(T(Yi)))O)((ex)g))))));;;1000001110011;Rj
Generated case number 11;N,o,F,G,L,r,w,M,s,D,U,W,Y,k,y,P,g,l,i,Z,j,O,R,T,a,Q,d,E,S,v,f,H,x,X,V,p,c,z,q,t,n,h;11,4,10,11,2,4,12,4,10,2,13,10,2,14,5,2,9,8,11,10,15,4,4,5,8,7,2,1,9,1,2,10,10,13,8,7,4,7,6,7,15,15;((((hj)(n(((LP)M)(OR))))(((V((Yd)c))(al))(((or)S)(gF))))((((H(Ty))(WZ))((sx)(GN)))(((i((f(D(Ev)))q))(wU))((X(Qp))(k(tz))))));cWSff;010011100100110111001001100100;010001010010101011001100111001100000;!
Generated case number 12;U,E,O,N,t,y,i,j,Y,v,M,e,f,n,W,r,S,T,L,C,R,P,G,J;8,15,5,5,14,13,10,8,11,2,12,14,12,13,12,12,2,15,10,13,12,12,10,9;((((Wf)(rC))(((OU)n)(ye)))(((tE)(T(jJ)))(((((Sv)N)G)(Li))((YM)(PR)))));fMTiMLty;000111101101011011111011101010000110;1010010110110011;!
Generated case number 13;F,T,c,q,e,n,t,U,o,E,w,x,I,m,J,N,P,y,g,u,G,i,X,H,O,R,M,L,B,v,C,K,W,Y,A,Q,d,a,V,l,D,p,f,h;12,9,11,1,14,15,15,12,3,8,8,15,2,10,10,15,15,9,1,5,9,12,1,2,12,15,11,1,9,6,5,1,1,2,13,11,10,3,3,10,9,7,4,9;((((x((((KL)(WX))(Y(gq)))w))((B(fC))(DG)))(((Th)(yJ))((dl)(mM))))((((Q(u(Va)))(cF))((OU)(iA)))((((v(o(HI)))e)((pE)N))((PR)(nt)))));lGvXNyIh;01101001111100000001001111011010101100011101001;0001001011010100010110100001100111000010001110001;!
Generated case number 14;n,t,J,R,M,Y,w,S,I,f,i,N,d,K,A,T,j,z,p,a,y,u,s,U,E,v,V,k,F,l,C,D;5,4,5,14,7,10,8,1,7,4,5,6,10,4,8,5,3,6,2,5,12,13,4,2,15,8,4,11,15,2,3,13;((((d(in))(k((C(SU))N)))((yD)((zI)u)))(((((jK)M)R)(EF))(((A(Vf))(((lp)s)v))((w(tJ))((Ta)Y)))));MunttyM;10001011100011111010111010010010001;00111010000110;!
Generated case number 15;p,m,H,n,O,y,v,K,z,F,B,M,c,D,X,x,a,h,o,r,q,Z,u,W,T,C,Q,A,V;8,3,2,3,14,14,12,14,6,6,9,3,14,1,2,13,5,12,14,7,3,11,2,11,13,2,5,10,4;((((WZ)(((Mm)(nq))h))((vT)((zr)x)))(((KO)(co))((y(((HX)V)p))((BA)(((u(DC))Q)(aF))))));;;100111010010000;OXW
Generated case number 16;b,R,p,z,M,B,N,h;8,7,10,13,5,3,13,2;((Nz)((Rb)(((hB)M)p)));RMb;1001101101;100001101101101;RNMbb
Generated case number 17;g,S,F,R,e,W,U,L,G,D,O,E,C,f,i,n,q,r,v,N,Q,k,V,t,y,h,J,m,w,T,s,x,A,p,X,o,d;6,9,2,13,4,4,6,1,5,4,5,13,11,4,3,10,11,2,7,7,2,7,10,7,1,1,7,10,11,13,7,4,1,14,5,4,1;((((Cq)(w(Ug)))((ER)(T(JN))))((((ks)p)((tv)((D(FQ))(W((dh)r)))))((((ef)(ox))(S(GO)))((Vm)(n(X((y(AL))i)))))));A;111111010;11111101111011011110110010101111010110111011011010;LGnohTmF
Generated case number 18;X,D,M,o,l,C,c,e,N,q,Z,i,I,b,O,W,x,t,j,p,n,P,G,d,h,J,z,L,k;4,3,15,1,7,5,3,1,11,2,9,4,13,12,15,3,2,1,10,14,12,4,7,14,2,4,2,10,4;(((((ik)((xz)C))(ZL))((jN)(((DW)(c(t(eo))))b)))(((nI)((Gl)d))((pM)(O((JP)(X(hq)))))));N;0101;01101010000001110100;cnCG
Generated case number 19;F,l,s,B,J,L,W,X,K,o,U,I,j;5,5,8,7,8,12,7,10,6,13,11,8,4;(((X(lK))(UL))((o(BW))((IJ)(s(jF)))));sFjWsB;11101111111110101111101010;00101000100011011001000000000001;!
Generated case number 20;u,G,f,q,E,X,r,D,K,R,H,y,j;10,5,7,4,9,13,1,5,5,12,12,11,8;((((K(rq))u)(yH))((RX)((fj)(E(DG)))));ryErRRK;000100101110000101001000000;11110;D
Generated case number 21;p,L,S,Q,O,N,D,B,y,n;13,6,1,6,5,10,1,14,4,14;((Bn)((N(O((DS)y)))((LQ)p)));QOLynSSpBO;1101101011001011101101101101101111001010;10110110110011011011110100010110110010111;SDQyOBSNy
Generated case number 22;m,u,C,I,V,e,n,K,f,F,U,E,d,b,Q,k,z,s,Y,o,r,h,j,N,c,y,L,B,M,i,Z,W;15,7,6,4,1,8,12,4,8,2,7,15,4,3,2,14,11,14,8,2,10,5,8,11,3,6,13,9,14,11,9,10;((((n(y(cI)))(LM))(((Uu)k)(sE)))(((m((K(Qo))Y))((ef)(jB)))(((Z(dh))(Wr))((Ni)(z(C((VF)b)))))));c;000110;010000011001111111011001100011;!
Generated case number 23;b,K,E,Z,P,T,S,I,q,U,V,k,v,C,L,o,y,t,B,R,p,g,J,W,u,s,l,c;15,15,3,5,12,2,1,8,10,4,2,15,3,10,3,9,2,12,4,13,7,8,13,12,2,9,2,9;((((sC)(q(Z(EL))))((PW)(tJ)))(((R(((ST)v)p))(Kb))((k((BU)I))((((Vl)(uy))g)(co)))));;;00110100100000110100111100;ZSZpk
Generated case number 24;Y,B,z,I,a,r,K,M,G,R,H,p,P,N,x,i,h;6,1,14,6,9,5,2,11,9,10,13,8,13,1,9,12,9;(((HP)(z(p(((BN)K)r))))(((Ga)(hx))((RM)((IY)i))));;;01010001110000;!
Generated case number 25;X,q,f,L,o,O,Z,B,v,Q,s,G,a,Y,c,u,K,D,F,x,h,n,R,m,y,t,V,S,j,I,N,k,l,P,i,C,A,z,r,E,e,M,g,d,U,b,p,w,T,J,W;9,14,12,15,13,9,15,12,2,4,13,4,14,6,9,11,7,12,11,9,12,10,13,14,6,2,8,9,8,13,2,8,1,15,15,1,4,3,12,6,11,1,5,11,15,4,2,1,1,15,13;((((((gE)F)(de))((uB)(D(Yy))))(((fh)(rI))((RW)(os))))((((((zA)K)a)(mq))((JL)(PU)))(((Zi)(((G(N(Tl)))(Qb))(Vj)))(((k((pt)(v(w(CM)))))(OS))((Xc)(xn))))));f;01000;0111010000001101010110101011010010000111101011111000001100011;!
Generated case number 26;E,Y,S,z,X,v,x,f,w,I,U,y,d,R,F,T,o,k,u;12,12,3,12,11,15,3,10,13,5,3,9,1,13,6,1,6,5,9;(((Rw)(v(uy)))((((I((Td)S))f)((kF)X))((E((Ux)o))(Yz))));IFSE;10000101011000111100;1100011110100100010000001001;!
Generated case number 27;E,q,b,k,j,Z,J,Q,r,U,v,w,S,t,X,D,l,m,C,a,c,B,s,y,F;10,2,12,15,3,14,5,6,13,8,4,12,1,12,10,13,14,5,11,5,15,14,3,2,3;((((X(am))(C(Q((Sq)j))))((bt)(wD)))(((rB)(Zl))((((sv)U)c)(k(E((yF)J))))));blFtvsZca;01001011111110101011100011100001010110100010;;
Generated case number 28;r,A,z,X,x,U,l,T,I,q,o,n,G,k,a,e,b,h,B,v,V,y,S,p,O,W,K,J,m,j,C,L,F,E,D,Z,H,f,Y,R,u,s,N,c;12,13,9,6,3,12,7,14,13,11,9,6,12,9,6,5,9,15,6,13,13,15,15,12,5,2,12,15,9,13,4,6,4,7,2,15,3,13,3,6,15,1,10,12;(((((km)(oz))((N(Oe))(q(B(HY)))))(((GK)((LR)U))(((Xa)c)(pr))))((((A(n(xC)))(IV))((fj)(v(El))))(((TJ)(SZ))((hu)(y((F(W(sD)))b))))));qfCzXGNnnf;0011010100100011100011011000010000010010001010001010100;010101000;!
Generated case number 29;C,k,O,T,B,Z,V,Y,j,J,c,S,G,s,M,g,d,b,q,m,D,v,f,U,F,h,t,a,A,p,K,l,P;13,13,11,9,13,10,2,13,12,4,7,9,5,4,6,3,8,14,8,12,12,12,7,5,2,10,3,8,3,3,2,15,2;((((vB)(CY))((((pt)c)k)(b(f((FK)J)))))(((l(((PV)s)a))((dq)(ST)))((((GU)Z)(hO))((((Ag)M)D)(jm)))));vqSJA;000010101101100111111110000;11001000101110111011100110110100101010000;ZBfDZSsp
Generated case number 30;q,K,b,j,G,M,h,t,k;6,13,6,1,14,3,7,1,4;(((bq)K)(G(h(k((jt)M)))));bjjM;00011110011110011111;110111101111101110111;!
Generated case number 31;T,f,i,E,C,l,c,e,k,u,m,d,I,J,z,y,K,b,D,R,h,r,g,j,N,X,O,Z,G,B,Q,H,S,p,s,F,t,n,V,a,P,M,x,Y,q,v;1,3,7,7,14,5,15,6,11,3,1,10,5,8,13,10,13,2,5,10,1,5,5,14,4,9,14,15,1,12,6,4,7,2,10,14,10,14,5,7,15,14,7,8,11,13;((((((((GT)b)H)J)((N((hm)p))Y))((X(DI))(R(Vg))))(((d(lr))(st))((yk)(qB))))(((((Qe)((fu)E))(Kv))((zC)(FM)))(((O(Sa))((ix)j))((nP)(Zc)))));XbH;001000000001000001;;
Generated case number 32;J,b,d,e,f,F;13,1,13,4,13,4;(((e(bF))J)(df));eb;0000010;00110011101011010011;FFddfJF
Generated case number 33;Q,X,v,b,I,P,g,i,E;9,2,9,1,5,6,14,14,10;((gi)((Qv)(E(P((bX)I)))));;;10101111110100111101101111;!
Generated case number 34;V,N,F,s,Q,o,D,f,U,Y,K,I,z,j,d;2,7,14,9,6,12,3,10,4,9,13,6,2,2,11;(((((zD)I)d)(oK))(((QN)F)(((U(Vj))Y)(sf))));jfQIUIINzU;110011111110000001110000001000110010000011000;0000100000101111110011101110010;DzFfNYV
Generated case number 35;B,o,d,p,w,b,Q,q,x,E,e,a,F,U,c,y,W,u,i,n,R,k,N,Y,M;1,4,10,15,4,2,13,5,12,1,2,15,11,15,9,14,3,7,6,4,3,11,4,2,1;(((p((N(Yb))(no)))(((w(e(M(BE))))c)(dF)))((((q(RW))k)(xQ))(((iu)y)(Ua))));wWMaoUpipE;01000100011010011011110011111100001100000001001111;01001110011001001111110000101001010;BdEicY
Generated case number 36;r,b,k,E,h,q,G,M,Y,Z,z,U,T,p,I;8,1,6,5,4,12,10,7,4,10,1,3,3,5,6;(((r(hE))(G(((bz)T)p)))((Z(Ik))(q(M(UY)))));ZIprbM;100101001110000110001110;0001010011000011000;rIbb
Generated case number 37;m,T,y,x,g,o,K,q,N,c,j,w,F,A,u,e,d,Z,f,l,L,B,k,a,H,Q,M,h,r,D,b,n;3,9,15,2,13,4,4,6,12,7,10,4,11,13,6,12,6,10,3,5,3,10,4,10,9,2,15,15,1,11,3,5;(((((n((rQ)b))N)((d(fm))e))(((qu)A)(g(c(Kk)))))(((Mh)(y((ow)H)))(((TB)(((xL)l)Z))((aj)(DF)))));lulKecKo;11010101001110101011110001101110011110101100;0000101000010111001101010110;!
Generated case number 38;H,p,A,G,q,Z,y,J,T,k,n,s,t,W,x,B,C,w,i,S,b,v,Q,u,d,l,P,L,N,o,V,m,c;3,6,9,1,4,3,15,3,13,5,13,11,10,7,8,10,12,5,4,10,9,13,1,12,12,11,5,13,1,15,3,3,12;((((du)(LT))(((pW)n)(vo)))(((y((iq)x))((Ab)(B(Pk))))(((St)((w((Q(GN))H))l))((sC)(((JV)(Zm))c)))));stloNiL;11100110011101101111101010111001000010;101001101010;!
Generated case number 39;W,F,T,w;14,1,5,6;(((FT)w)W);FwwWwTW;00001011010011;0100100111010000000010;!
Generated case number 40;q,J,o,S,I,t,N,V,p,F,C,Q,D,m,c,u,H,k,Z,x,M,B,f,U;11,3,3,2,1,3,7,3,15,2,8,8,11,14,14,2,9,6,3,15,4,9,9,10;(((x((M(Su))Q))((BH)(fU)))(((Dq)((((IF)J)(VZ))(k(ot))))((cm)((NC)p))));CMkQZk;111010010010110001110101110110;110110101010101;!
Generated case number 41;k,J,B,Z,Q,g,o,R,e,v,C,u,t,d,G,K,A,F,c,W,y,X,T,l,x,P,p,O,m,I,N,Y,L,E,f,V;7,14,8,5,4,14,14,1,8,11,10,4,4,11,1,10,6,9,10,14,6,7,15,11,9,12,12,11,2,11,12,13,5,4,5,6;((((Wg)(o(kB)))((T((E((GR)m))(Qt)))((eF)((uL)x))))((((CK)((Zf)c))((IO)(dl)))(((v(AV))(NP))((p(yX))(YJ)))));Ixd;101000111110110;00111000110111;Bgl
Generated case number 42;w,h,X,T,y;13,3,9,4,8;(((hT)y)(Xw));XTwhXXyw;100011100010100111;11011001100010011000;!
Generated case number 43;G,Y,d,M,T,z,r,J,E,e,t,o,D,Z,a,H,k,C,V,Q,n,N,K,O,I,s,R,j,p,u,f,l,i,v,m,U,w,q,y,x,W;13,10,1,1,7,7,9,9,13,5,5,5,10,11,15,3,2,10,11,10,4,5,1,1,5,9,3,14,12,15,14,7,11,14,10,6,14,2,6,8,8;((((wa)(u((((KM)(Od))(kq))W)))(((x(nI))(Jr))((sC)(D(Ne)))))((((QY)(m(ot)))((VZ)(i((HR)U))))(((pE)(G(yT)))((fj)((lz)v)))));oaV;100110000110100;1000011000001100111111010110;!
Generated case number 44;q,k,j,Z,p,c,t,A,d,U,f,u,M,Q,b,V,h,I,a,i,B,m,s,o,Y,z,R,N,l,L;7,5,14,4,8,7,9,10,14,15,13,15,1,11,4,13,13,5,1,2,3,5,6,15,5,2,10,10,14,14;(((((sc)f)(hL))((dj)(l(q(((Ma)i)Z)))))(((Uo)(u(p(b(zB)))))(((tA)((IY)N))((R(km))(QV)))));sccVc;0000000001000011111100001;0111110000101001010011111111;!
Generated case number 45;i,l,H,v,R,I,K,g,s,A,z,G,n,Q,p,N,S,j,U,w,P,Z,V,E,x,f,t,a,r,k,o,y,X,Y,T,q,L,c,u,C,F,D,M;11,14,15,12,9,2,6,15,13,11,7,15,9,5,9,12,12,3,12,1,13,1,13,15,8,12,10,9,13,12,9,9,8,10,12,1,9,2,6,1,10,11,13;(((((no)(py))((FY)(tA)))(((Di)((Ku)N))((ST)(Uf))))((((kv)(MP))((Vr)(s((j((CZ)I))z))))(((lE)(GH))((g(Xx))((L((c(qw))Q))(Ra))))));;;1011101111111110100001010001;!
Generated case number 46;X,n,T,R,v,h,y,C,D,I,V,U,O,S,A;6,4,10,8,6,6,9,8,15,14,9,7,4,6,12;((((SX)(hv))(I(UC)))((D((On)R))((Vy)(TA))));DyI;1001101010;10100101110010100101000011001;!
Generated case number 47;v,j,k,o,N,Y,B,c,t,H;15,14,15,3,8,10,1,8,12,8;(((Nc)(Y((Bo)H)))((tj)(kv)));o;01101;0110101010101001100100100101011;!
Generated case number 48;M,y,E,o,k,Y,U,W,t,p,C,G,z,F,P,h,s,i,v,Q,u,V,e,f,w,g,X,Z,J,O,x,l,A,L,n,D,j,T,K;5,12,5,3,9,8,3,3,4,2,1,15,2,11,1,6,8,4,1,14,11,8,11,2,2,7,12,15,1,4,5,8,5,11,7,5,13,11,15;((((yj)(((o((CJ)(Pv)))g)Q))((GK)((n(O(fp)))Z)))((((VY)((it)l))((s((wz)A))(k(DE))))((((Mx)F)(LT))((eu)(((UW)h)X)))));YoFz;10001001000110011010101;0110110011010111101011010011011000000111011011;!
Generated case number 49;m,V,F,R,T,B,f;11,8,4,9,6,6,5;((Rm)((BT)(V(Ff))));m;01;11011101111101111101101111111001;VFfTfmTfVm
Generated case number 50;j,n,O,b,o,E,R,p,H,a,G,J,N,i,X,K,I,e,A,k,T,C;6,14,6,1,13,13,1,2,1,10,4,10,8,8,3,15,9,10,11,14,7,15;((((TN)(iI))((Ja)(eA)))(((((p(b(HR)))O)E)((j(XG))o))((kn)(CK))));kIpiaJ;11000011100000001001010100;010011000110010001001000;!
Generated case number 51;u,b,v,W,J,g,j,s,D,U,F,l,L,x,Z,m,w,h,p,G,q,E,c,S,Y,N,H,e,B,d;8,9,14,9,4,8,11,12,15,3,15,6,14,4,7,4,11,6,11,2,15,8,1,5,3,2,14,7,2,13;(((((((cB)U)h)s)((l(Y(GN)))d))((HL)((Ze)v)))(((DF)(q(E(Jm))))(((gu)((xS)W))((bj)(pw)))));qEDdW;1010101101000001111011;00000110110;UE
Generated case number 52;w,K,n,O,N,p;11,8,10,3,8,14;(((OK)w)(p(Nn)));wN;01110;0010000100110101111;!
Generated case number 53;G,w,q,C,e,p,L,N,R,c,K,T,u,D,t,l,H,I,F,f,V,i,a,U,r,A,h,Y,o,z,b,W,Q,E,d,j,P,g,m,O,J,S,n,v;10,14,4,4,9,15,10,7,1,14,2,9,13,6,8,10,1,7,3,7,4,7,8,10,13,13,12,13,2,5,14,11,15,9,6,8,13,15,14,9,6,5,13,9;(((((tE)(OT))((ev)(((oF)S)G)))(((LU)(l(zD)))((W(Jd))(hA))))((((PY)(nr))((u(IN))(bc)))((((fi)m)(wQ))((gp)(((C((HR)K))(Vq))(aj))))));;;111100100111101000110110111101010101001100101101001011101;!
Generated case number 54;V,O,I,n,e,C,d,P,D,E,K,j,k,x,M,t,m,F,r,B,L,i,s,H,b,c,W,f,v,R,h,X,g,p,G,N,S,Z,o,y,z,T,l,U,Q,Y,a,J;1,11,11,15,4,8,13,7,9,7,7,2,7,12,15,3,15,3,11,1,12,1,6,3,7,9,14,7,2,12,15,14,9,3,7,8,3,5,8,4,13,10,6,9,2,13,6,9;(((((N(ey))(oD))((JU)(cg)))(((((v(i(BV)))Z)T)(IO))((r((FH)(Sp)))(LR))))(((((al)x)((sE)Y))((dz)((GK)(P(t(Qj))))))(((WX)((bf)(kC)))((Mh)(mn)))));GplklIk;101100011011110000111011010000101010110110;1100000001001110111100100001000001010010;!
Generated case number 55;j,m,l,D,E,M,T,H,N,g,V,G,A,X,w,y,z,a,r,K,P,f,b,S,e,B,q,h,o,Z,u,I,p,Y,s,k,v,R,U,i,C,x,L,J,F,Q;3,3,2,2,15,8,2,2,1,7,7,15,8,14,1,4,15,4,9,9,7,12,2,12,13,9,2,4,3,10,10,12,12,15,9,14,5,13,14,10,11,14,14,10,2,2;(((((((DF)(H(Nw)))M)(((QT)a)((bl)h)))((BK)((y(qj))r)))(((sJ)(Zi))((uC)((v(mo))I))))((((Sf)(pR))((eL)((PV)U)))(((Xk)(x(gA)))((EG)(Yz)))));jYVlTofD;001101111110101101000110100010010111011100010000000;0000101001011101000011011111100000110000010111100110100011011;MJmlzNMIqj
Generated case number 56;a,y,o,T,G,A,I,w,x,D,H,e,p,W,E,v,t,U,F,m,c,n,S,u,B,k,g,s,N,Q,Y,K,R,q,z,f,r,Z,M;6,7,8,8,1,8,10,3,5,1,1,5,8,8,14,8,15,12,6,14,6,7,6,9,4,6,15,9,8,6,13,1,9,4,13,5,1,13,12;((((Em)((ny)g))((t(AN))((TW)(op))))((((v(q((HK)(r(DG)))))(Rs))((uI)((ef)(xF))))(((M(QS))(U(ac)))(((k(wB))Y)(Zz)))));rfq;10001110101101100010;1011101111010110110010001100;!
Generated case number 57;a,O,J,H,o,q,K,j,I,S,C,w,W,E,l,f,M,X,r,h,T,t,V,P,N,D,c,Z,y,u,b,U,v,B,k,Y,i,x,n,Q,p,s,L,g,d,R,G,e;15,12,9,15,15,15,7,3,5,13,15,8,8,11,7,14,10,1,8,14,2,7,2,2,14,2,13,3,1,1,7,8,14,8,7,3,11,8,3,1,9,9,8,7,7,6,3,8;((((((((QX)T)(V(uy)))U)(We))((rw)(xJ)))(((ps)(ME))(((I(GY))i)(O(R(Zj))))))((((Sc)(((n(DP))K)N))(((bd)f)((gk)h)))((((lt)v)(CH))((ao)(q(BL))))));lsQ;1100000100100000000;0000000111110101000000001100110010101101;XqbuGk
Generated case number 58;F,o,h,l,D,C,z,V,I,s,G,g,t,A,f,X,n,O,u,W,e,v,T,q,a,r,L,E,j,Z,H,Y,k,c,B,Q,S,d,K,p,R,U,w,y,b;13,8,4,11,12,15,1,4,6,11,4,13,14,7,8,5,2,9,2,13,12,14,4,4,10,14,7,9,7,10,7,15,10,9,2,15,12,9,8,4,4,12,2,12,6;((((((h(nu))o)((pq)E))((Oc)(d((w(zB))X))))(((Za)(kl))((sD)((Ib)S))))((((Ue)(yF))((Wg)((AH)(Lj))))(((rt)(vC))((QY)(((GR)K)((TV)f))))));;;00011101100111100010010010010001110011010101111101111110;!
Generated case number 59;o,d,w,U,e,q,Q,l,K,n;3,14,7,14,15,14,8,15,2,12;(((Q((Ko)w))(nU))((dq)(el)));ldnQKwllnw;1111000100000010000111111110100011;010010010111110111100;nnnleld
Generated case number 60;X,b,P,u,c,F,q,x,l,m,y,U,p,D,n,r;2,6,10,2,2,12,12,2,9,12,10,8,3,1,12,6;(((((x(DX))b)F)(mn))((q(r(p(cu))))((Ul)(Py))));uUDyuc;10111111000000101111101111101110;0001001110111001110100011001101101010111;!
Generated case number 61;v,F,P,h,X,K,S,U,n,W,x,q,A,M,z,g,E,Q,R,I,d,Y,N;8,5,15,14,14,10,11,8,8,1,4,4,10,14,1,4,3,14,10,6,9,6,5;((((nv)((x((Wz)E))d))((A(FN))(KR)))(((S(IY))(MQ))((Xh)(P(U(gq))))));Q;1011;111;!
Generated case number 62;Q,T,W,l,S,V,P,o,g,L,a,H,J,M,v,X,R,m,c,f,B,U,O,n,F,h,C,d,u,I,G,z,b,i,x,D,s,E,Y,Z;11,11,14,10,3,8,10,7,3,13,4,5,1,14,3,7,15,15,2,8,2,6,9,10,11,6,12,10,4,8,6,14,5,3,3,9,7,1,15,15;((((RY)(Zm))(((((B(EJ))a)I)(Vf))((D(uH))(OP))))((((((cS)b)d)(ln))((FQ)(TC)))((((GU)((gi)h))(L((vx)X)))((MW)((os)z)))));uni;011010100111100101;110110100001101100100000101111101000110001011;xRvSPFDf
Generated case number 63;I,Y,N,W,P,F,x,T,f,k,u,R,Q,t,e,a,i;1,5,11,10,5,10,3,3,12,4,8,14,9,1,6,11,11;(((ai)(fR))((((xk)u)(QF))(((((It)T)P)W)(N(Ye)))));uNtQIWeIR;100111101100001101011000001101111111100000011;1100110101011111111010110000010000;PQFeQIx
Generated case number 64;K,Y,x,G,m,s,i,X,h,D,y;14,4,4,14,4,10,13,12,5,1,13;((((mx)((DY)h))(sX))((iy)(GK)));DXiDKYD;00100011100001001110010100100;101100100001010100000001;!
Generated case number 65;F,y,s,k,z,I,d,w,U,A,Z,L,l,u,m,p,E,B,G,T,e,v,K,h,P,J,f,a;15,7,2,2,8,6,6,4,9,12,13,8,7,12,3,10,13,8,13,11,13,1,11,8,3,4,13,3;((((TA)((I(a(vk)))u))((EG)((d(mJ))Z)))(((ef)((ly)F))(((BL)(hz))(((w(sP))U)(pK)))));vZeaBske;00101100111100000101011000111001000101111000;000011011;Tz
